Time,flux_normalized
1701.781330451963,0.9917425
1701.782719343985,0.9907675
1701.7841082362395,0.99226075
1701.7854971282616,0.9910462
1701.7868860202832,0.99112517
1701.7882749125376,0.9919398
1701.7896638045606,0.99299836
1701.7910526965836,0.9917735
1701.792441588838,0.99132925
1701.7938304808597,0.9919592
1701.7952193728818,0.9907204
1701.7966082651371,0.9953597
1701.7979971571592,0.99146664
1701.7993860491817,0.9910129
1701.8007749414367,0.9934997
1701.8021638334583,0.9916115
1701.80355272548,0.9913672
1701.8049416177357,0.99089855
1701.8063305097578,0.9931905
1701.8077194017794,0.9930822
1701.8091082940348,0.9947318
1701.8104971860569,0.99197143
1701.8118860780785,0.99370235
1701.8132749703334,0.99446815
1701.8146638623564,0.9931786
1701.816052754378,0.9926002
1701.8174416466325,0.99128854
1701.818830538655,0.99060905
1701.820219430677,0.9939651
1701.821608322932,0.9948059
1701.8229972149545,0.9946075
1701.8243861069766,0.9916099
1701.825774999232,0.9930255
1701.8271638912536,0.99390185
1701.8285527832757,0.9930384
1701.8299416752986,0.99253637
1701.831330567553,0.99551016
1701.8327194595747,0.99492174
1701.8341083515968,0.9959006
1701.8354972438522,0.991814
1701.8368861358742,0.9933079
1701.8382750278965,0.9935563
1701.8396639199188,0.99517286
1701.8410528121733,0.9941382
1701.842441704195,0.99609476
1701.843830596217,0.99377215
1701.84521948824,0.9967097
1701.8466083804951,0.9954235
1701.8479972725165,0.9954615
1701.849386164539,0.9937547
1701.8507750567935,0.99624956
1701.8521639488156,0.99621123
1701.8535528408386,0.99483734
1701.8563306251153,0.9963395
1701.8591084091593,0.99473757
1701.8604973011813,0.99605995
1701.8618861934367,0.9948059
1701.8632750854588,0.9947496
1701.864663977481,0.9962643
1701.8660528695025,0.9947838
1701.867441761524,0.99743557
1701.86883065378,0.99566567
1701.870219545803,0.997305
1701.8716084378245,0.99641126
1701.8729973298462,0.9991819
1701.8743862221013,0.99655056
1701.8757751141227,0.99955434
1701.8771640061452,0.99932355
1701.8785528981682,0.9984353
1701.8799417901903,0.99734586
1701.8813306824447,0.99767303
1701.8827195744664,0.99892324
1701.8841084664894,0.9975721
1701.8854973585114,0.9981789
1701.886886250533,0.9981688
1701.8882751427884,0.9975781
1701.8896640348105,0.9977641
1701.8910529268321,0.99677473
